gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,Lat,Long,Extent,Notes,Cer,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,Date,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1322605529,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/3eefef3c6-a228-4576-af1c-f105f9779e62,Animalia,Chordata,Crocodylia,,Crocodylidae,Crocodylus,Crocodylus niloticus,,SPECIES,"Crocodylus niloticus Laurenti, 1768",Crocodylus niloticus,,BW,Shakawe,,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,-18.36348366,21.83874821,5.21,Mid point eyeballed,75,,,,,10/05/1967 00:00,10,5,1967,2441341,2441341,PRESERVED_SPECIMEN,USNM,HERP,USNM 195448,,,,CC0_1_0,,,,,02/12/2022 12:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1322424908,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/3e70ab970-5501-469b-9726-842a67d642aa,Animalia,Chordata,Crocodylia,,Crocodylidae,Crocodylus,Crocodylus niloticus,,SPECIES,"Crocodylus niloticus Laurenti, 1768",Crocodylus niloticus,,LR,Mt. Coffee,Montserrado County,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,6.4906,-10.65,0.63,"Locality data and coordinates  match, extent half distance from Mt Coffee to Buzi Quarters",75,,,,,###############################################################################################################################################################################################################################################################,4,5,1897,2441341,2441341,PRESERVED_SPECIMEN,USNM,HERP,USNM 24247,,,,CC0_1_0,,,,,02/12/2022 12:40,,GEODETIC_DATUM_ASSUMED_WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1322000900,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/3d449cfa0-560c-44a4-b963-0c3b17784829,Animalia,Chordata,Crocodylia,,Crocodylidae,Crocodylus,Crocodylus niloticus,,SPECIES,"Crocodylus niloticus Laurenti, 1768",Crocodylus niloticus,,LR,Mt. Coffee,Montserrado County,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,6.4906,-10.65,0.63,"Locality data and coordinates  match, extent half distance from Mt Coffee to Buzi Quarters",75,,,,,###############################################################################################################################################################################################################################################################,5,5,1897,2441341,2441341,PRESERVED_SPECIMEN,USNM,HERP,USNM 24330,,,,CC0_1_0,,,,,02/12/2022 12:40,,GEODETIC_DATUM_ASSUMED_WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1321443054,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/3bb86b5b4-5c12-4615-b8fa-2b5c29cb2e56,Animalia,Chordata,Crocodylia,,Crocodylidae,Crocodylus,Crocodylus niloticus,,SPECIES,"Crocodylus niloticus Laurenti, 1768",Crocodylus niloticus,,LR,Mt. Coffee,Montserrado County,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,6.4906,-10.65,0.63,"Locality data and coordinates  match, extent half distance from Mt Coffee to Buzi Quarters",75,,,,,###############################################################################################################################################################################################################################################################,4,5,1897,2441341,2441341,PRESERVED_SPECIMEN,USNM,HERP,USNM 24246,,,,CC0_1_0,,,,,02/12/2022 12:40,,GEODETIC_DATUM_ASSUMED_WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1319087154,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/3535d8fd5-454c-47bf-83bf-faef8cb9eea6,Animalia,Chordata,Crocodylia,,Crocodylidae,Crocodylus,Crocodylus niloticus,,SPECIES,"Crocodylus niloticus Laurenti, 1768",Crocodylus niloticus,,SD,Juba,Eastern Equatoria,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,4.860002233,31.57169019,7.66,,100,,,,,10/05/1948 00:00,10,5,1948,2441341,2441341,PRESERVED_SPECIMEN,USNM,HERP,USNM 129762,,,,CC0_1_0,,,,,02/12/2022 12:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1318837216,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/3484d5849-f372-4f9a-87f6-b3d35ec5f8a3,Animalia,Chordata,Crocodylia,,Crocodylidae,Crocodylus,Crocodylus niloticus,,SPECIES,"Crocodylus niloticus Laurenti, 1768",Crocodylus niloticus,,SL,"Bo Town, 7 mi S of, Gondoma, at Sewa River",Southern Province,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,7.956595924,-11.73636102,5.28,Mid point eyeballed,50,,,,,13/06/1963 00:00,13,6,1963,2441341,2441341,PRESERVED_SPECIMEN,USNM,HERP,USNM 149670,,,,CC0_1_0,,,,,02/12/2022 12:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1318587215,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/33d3e85b4-37c5-4fa9-891e-999e62cd498c,Animalia,Chordata,Crocodylia,,Crocodylidae,Crocodylus,Crocodylus niloticus,,SPECIES,"Crocodylus niloticus Laurenti, 1768",Crocodylus niloticus,,LR,Mt. Coffee,Montserrado County,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,6.4906,-10.65,0.63,"Locality data and coordinates  match, extent half distance from Mt Coffee to Buzi Quarters",100,,,,,###############################################################################################################################################################################################################################################################,5,5,1897,2441341,2441341,PRESERVED_SPECIMEN,USNM,HERP,USNM 24329,,,,CC0_1_0,,,,,02/12/2022 12:40,,GEODETIC_DATUM_ASSUMED_WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1318479560,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/3387e5940-3edd-431f-8cb7-9f5d7fcd43b0,Animalia,Chordata,Crocodylia,,Crocodylidae,Crocodylus,Crocodylus niloticus,,SPECIES,"Crocodylus niloticus Laurenti, 1768",Crocodylus niloticus,,LR,Mt. Coffee,Montserrado County,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,6.4906,-10.65,0.63,"Locality data and coordinates  match, extent half distance from Mt Coffee to Buzi Quarters",100,,,,,###############################################################################################################################################################################################################################################################,4,5,1897,2441341,2441341,PRESERVED_SPECIMEN,USNM,HERP,USNM 24248,,,,CC0_1_0,,,,,02/12/2022 12:40,,GEODETIC_DATUM_ASSUMED_WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1318215967,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/32cd1d9e8-0e3d-41ae-ba4d-addd6902e332,Animalia,Chordata,Crocodylia,,Crocodylidae,Crocodylus,Crocodylus niloticus,,SPECIES,"Crocodylus niloticus Laurenti, 1768",Crocodylus niloticus,,SL,"Bo Town, 7 mi S of, Gondoma, at Sewa River",Southern Province,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,7.956595924,-11.73636102,5.28,Mid point eyeballed,75,,,,,13/06/1963 00:00,13,6,1963,2441341,2441341,PRESERVED_SPECIMEN,USNM,HERP,USNM 149671,,,,CC0_1_0,,,,,02/12/2022 12:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1318056706,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/325c3d072-8d80-4d76-b30a-29da5edff475,Animalia,Chordata,Crocodylia,,Crocodylidae,Crocodylus,Crocodylus niloticus,,SPECIES,"Crocodylus niloticus Laurenti, 1768",Crocodylus niloticus,,SL,"Bo Town, 7 mi S of, Gondoma, at Sewa River",Southern Province,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,7.956595924,-11.73636102,5.28,Mid point eyeballed,75,,,,,13/06/1963 00:00,13,6,1963,2441341,2441341,PRESERVED_SPECIMEN,USNM,HERP,USNM 149666,,,,CC0_1_0,,,,,02/12/2022 12:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
