ID,Date,Extent_km,Cer,primf_1850,primf_1900,primf_1950,primf_2000,primn_1850,primn_1900,primn_1950,primn_2000,urban_1850,urban_1900,urban_1950,urban_2000
"29","1973",3.036,"100",-0.198940768837929,-0.191506654024124,0,0,0,0,0,0,0.00428997864946723,0.00428997864946723,0.00428997864946723,0.00106935109943151
"30","1973",3.036,"100",-0.198940768837929,-0.191506654024124,0,0,0,0,0,0,0.00428997864946723,0.00428997864946723,0.00428997864946723,0.00106935109943151
"31","1973",1083.34,"100",-0.242439895868301,-0.231780916452408,-0.0962292850017548,-0.0339896082878113,0,0,0,0,0.00414609909057617,0.00414609909057617,0.00414609909057617,0.00189469708129764
"32","1972",1097.28,"100",-0.242439895868301,-0.231780916452408,-0.0962292850017548,-0.0339896082878113,0,0,0,0,0.00414609909057617,0.00414609909057617,0.00414609909057617,0.00189469708129764
"33","1972",3036,"50",-0.158074982464314,-0.152144648134708,-0.0845222398638725,-0.0307118967175484,0,0,0,0,0.00760674024058972,0.00751018902519718,0.00776557057179161,0.00317428587004542
"34","1971",178.92,"100",-0.981548249721527,-0.911223649978638,-0.454340070486069,-0.306718647480011,0,0,0,0,0.00702742958674207,0.00687742924492341,0.00589366175699979,0.00367099652066827
"35","1971",3.26,"100",0,0,0,0,-0.323679432272911,-0.323310717940331,-0.316289201378822,-0.154952570796013,0,0,0,0
"36","1971",1356.27,"100",-0.0796412825584412,-0.0779523253440857,-0.0733830332756042,-0.0360289216041565,0,0,0,0,0,0,0,0
"37","1971",169.51,"75",-0.117107450962067,-0.114709258079529,-0.105563998222351,-0.0512232184410095,0,0,0,0,0,0,0,0
"38","1971",169.51,"75",-0.117107450962067,-0.114709258079529,-0.105563998222351,-0.0512232184410095,0,0,0,0,0,0,0,0
"39","1971",169.51,"75",-0.117107450962067,-0.114709258079529,-0.105563998222351,-0.0512232184410095,0,0,0,0,0,0,0,0
"40","1969",87.61,"100",-0.589589531847775,-0.513303215929807,-0.405501838156522,0,0,0,0,0,0,0,0,0
"41","1969",506.14,"100",0,0,0,0,-0.766859114170074,-0.74605792760849,-0.358719319105148,0,0.00557884015142918,0.00557884015142918,0.00557884015142918,0.00306787109002471
"42","1969",506.14,"100",0,0,0,0,-0.766859114170074,-0.74605792760849,-0.358719319105148,0,0.00557884015142918,0.00557884015142918,0.00557884015142918,0.00306787109002471
"43","1968",35.76,"75",-0.236015636473894,-0.229086834937334,-0.0202861912548542,-0.00854445993900299,0,0,0,0,0.0125911384820938,0.0125911384820938,0.0125911384820938,0.00493953283876181
"44","1968",506.14,"100",0,0,0,0,-0.766859114170074,-0.74605792760849,-0.358719319105148,0,0.00557884015142918,0.00557884015142918,0.00557884015142918,0.00306787109002471
"45","1967",433.33,"100",0,0,0,0,-0.38802444934845,-0.382958203554153,-0.306372702121735,-0.000108570449810941,0,0,0,0
"46","1967",433.33,"100",0,0,0,0,-0.38802444934845,-0.382958203554153,-0.306372702121735,-0.000108570449810941,0,0,0,0
"47","1967",433.33,"100",0,0,0,0,-0.38802444934845,-0.382958203554153,-0.306372702121735,-0.000108570449810941,0,0,0,0
"48","1967",433.33,"100",0,0,0,0,-0.38802444934845,-0.382958203554153,-0.306372702121735,-0.000108570449810941,0,0,0,0
"49","1967",5.21,"75",0,0,0,0,-0.205950915813446,-0.201400935649872,-0.0986096858978271,-0.0167984962463379,0.0112779354676604,0.0112779354676604,0.0112779354676604,0.00411316985264421
"50","1967",1.845,"50",0,0,0,0,-0.363149483688176,-0.332819749601185,-0.247898508794606,-0.0235449345782399,-5.95741107812207e-014,-5.95741107812207e-014,0,0
