ecatalogue_key,DarCatalogNumber,Date,DarFamily,DarScientificName,DarTypeStatus,DarPrep,Seen in Collections,DarAge,DarCountry,CatKindOfCollection,DarContinentOcean,DarDecimalLatitude,DarDecimalLongitude,DarLocality,AquNamedTributary1,Locality,Keep ,Lat,Long,Extent ,Cer,Notes,LocNhmVerbatimLocality,MovedTo,DarOrigin,DarOldRisplipLocationLables,DarNotes,,
32,1876.11.7.1,1876,Crocodylidae,Crocodylus niloticus,,,,Adult,Ethiopia (Ethiopian Empire),Skeleton,,,,Abyssinia? ,,,N,,,,25.00,,,,Purch: E.Gerrard,,"New Gallery, label details do not match up with green catalogue details; In Spirit, Indian Ocean, Presented by W.W. Dunlop",,
33,1929.2.27.5,1929,Crocodylidae,Crocodylus niloticus,,Spirit ,Y,,,,,,,"Wuli, Gambia River, West Africa",,"Wuli, Gambia River, West Africa",Y,13.49890723,-14.05204194,28.08,75.00,Mid points eyeballed,,,"Pres: T.W.Sparrow. Esq, (per,Dr.A.W. Hill 7RS)",, in the online database (emu) and register but not the green (catalogue),,
34,,,Crocodylidae,Crocodylus niloticus,,,,,,,,,,N.Africa,,N.Africa,N,,,,,,,,,,Trouble locating due to missing reg number,,
35,1863.5.21.4,1863,Crocodylidae,Crocodylus niloticus,,Spirit,,Young,Madagascar,,,,,East Madagascar,,East Madagascar,Y,-21.2294243,51.25368237,546,75.00,,,,Purch: Zoological Society of London,,"most data consistent across catalogue, Emu and register",,
36,1898.11.24.1,1898,Crocodylidae,Crocodylus niloticus,,Spirit,Y,Young,,,,,,"Congo; Umangi, Upper Congo",,"Umangi, Upper Congo",Y,-2.693087594,23.679519,1356.27,100.00,Precise locality unclear so used country ,,,"Pres:Secretary of State, Congo Free State",,"most data consistent across catalogue, Emu and register",,
37,1864.1.25.4,1864,Crocodylidae,Crocodylus niloticus,,,,Hgr,,Skull,,,,West Africa,,West Africa,N,,,,,,,,Pres: Dr Livingston,,Wanting Lower Jaw,,
38,,,Crocodylidae,Crocodylus niloticus,,,,,,,,,,N. Africa,,N. Africa,N,,,,,,,,,,Trouble locating due to missing reg number,,
39,1961.3,1961,Crocodylidae,Crocodylus niloticus,,,,,,,,,,Victoria Nyanza,,Victoria Nyanza,Y,-0.73769552,33.4485315,298.28,100.00,,,,Tring Mus Coll Sir David Bruce,,"most data consistent across catalogue, Emu and register",,
40,,,Crocodylidae,Crocodylus niloticus,,,,,,,,,,N. Africa,,N. Africa,N,,,,,,,,,,Trouble locating due to missing reg number,,
41,1953.1.11.19,1953,Crocodylidae,Crocodylus niloticus,,Spirit ,,,,,,,,"Congo; Albertsville, Tanganyika District, Belgian Congo",,"Albertsville, Tanganyika District, Belgian Congo",Y,-5.911662111,29.18830634,5.93,75.00,Mid point coordinates eyeballed,,,Pres:Inst.Roy.Sci.Nat.Belg,,,,
42,,,Crocodylidae,Crocodylus niloticus,,,,,,,,,,N. Africa,,N. Africa,N,,,,,,,,,,Trouble locating due to missing reg number,,
43,1913.10.15.1,1913,Crocodylidae,Crocodylus niloticus,,Spirit,Y,Young,,,,,,West Africa,,West Africa,Y,15.49736391,3.54,2191.37,75.00,Mid point coordinates eyeballed,,,Pres: Miss Protcher ,,"most data consistent across catalogue, Emu and register",,
44,1953.1.11.29,1953,Crocodylidae,Crocodylus niloticus,,Spirit,,Egg,,,,,,"Congo; Albertsville, Tanganyika District, Belgian Congo",,"Albertsville, Tanganyika District, Belgian Congo",Y,-5.912056719,29.19032402,5.93,75.00,Mid point coordinates eyeballed,,,Pres:Inst.Roy.Sci.Nat.Belg,,"most data consistent across catalogue, Emu and register",,
45,1961.27,1961,Crocodylidae,Crocodylus niloticus,,,,Egg,Senegal,,,,,,,,Y,14.24426888,-14.23639399,324.34,100.00,,,,Tring: Mus.Colln,,"most data consistent across catalogue, Emu and register",,
46,1910.3.15.2,1910,Crocodylidae,Crocodylus niloticus,,,,,Uganda,,,,,,,,N,,,,,,"Mafuru crater, Bunyaruguru area",,,,,,
47,1910.3.15.1,1910,Crocodylidae,Crocodylus niloticus,,Spirit,Y,Young,Uganda,,,,,,,,Y,1.553418887,32.2523643,433.33,75.00,Precise locality unclear so used country ,"Mafuru crater, Bunyaruguru area",,Pres:Col.Sir.David Bruce,,Reg number listed as 1910.3.15.1 (in register) and on specimin,,
48,1954.1.12.76,1954,Crocodylidae,Crocodylus niloticus,,Spirit,Y,Egg,Uganda,,,,,,,,Y,1.553418887,32.2523643,433.33,75.00,Precise locality unclear so used country ,"Mafuru crater, Bunyaruguru area",,Pres: J.W.Lester ,,"most data consistent across catalogue, Emu and register",,
49,1851.7.17.16,1851,Crocodylidae,Crocodylus niloticus,,Spirit,Y,Young,Egypt,,,,,,,,Y,26.47649844,29.94474209,732.32,100.00,,,,Purch:Mr Parzudaki,,"most data consistent across catalogue, Emu and register",,
50,,,Crocodylidae,Crocodylus niloticus,,,,,Egypt,,,,,,,,N,,,,,,,,,,Trouble locating due to missing reg number,,
51,,,Crocodylidae,Crocodylus niloticus,,,,,Egypt,,,,,,,,N,,,,,,,,,,Trouble locating due to missing reg number,,
52,1934.10.24.1,1934,Crocodylidae,Crocodylus niloticus,,,,,Nigeria,,,,,,,,N,,,,,,,,,,,,
